"","rcp","model","mgm","windcase","name","value","minfornorm","max","value.normalized1"
"560","rcp45","EC-EARTH_RACMO22E-r1","CONSERVATION","w8","nat.mortality.volperha",3.64944577736236,0,5.61844159386771,0.649547693322215
"561","rcp45","EC-EARTH_RACMO22E-r1","CONSERVATION","w8","impact",2.10819424904667,0,4.92439027259723,0.428112747435584
"562","rcp45","EC-EARTH_RACMO22E-r1","CONSERVATION","w8","NEP",304.266598612594,-388.953367502547,1217.44739498192,0.431536128657587
"563","rcp45","EC-EARTH_RACMO22E-r1","CONSERVATION","w8","standing.volume.decidious",98.7355226457401,0,128.822861263404,0.766444105319596
"564","rcp45","EC-EARTH_RACMO22E-r1","CONSERVATION","w8","BA.decidious",10.159272950116,0,12.4483497074567,0.816114038315495
"565","rcp45","EC-EARTH_RACMO22E-r1","CONSERVATION","w8","deadwood.c.ag",19050.6395698851,0,37854.244296677,0.503262974174799
"566","rcp45","EC-EARTH_RACMO22E-r1","CONSERVATION","w8","carbonstock",312440.20587096,0,387627.943172939,0.806031173381034
"567","rcp45","EC-EARTH_RACMO22E-r1","CONSERVATION","w8","shannon_BA_landscape",2.01327159736143,0,2.12717269598936,0.946454230611985
"568","rcp45","EC-EARTH_RACMO22E-r1","CONSERVATION","w8","shannon_VOL_landscape",1.90429802799131,0,2.0661929449391,0.921645789496892
"569","rcp45","EC-EARTH_RACMO22E-r1","CONSERVATION","w8","annual.harvest",5.36035616402284,0,9.16575488718929,0.584824297616212
"570","rcp45","EC-EARTH_RACMO22E-r1","CONSERVATION","w8","standing.volume",323.474414632034,0,483.94324804852,0.668413943032433
"571","rcp45","EC-EARTH_RACMO22E-r1","CONSERVATION","w8","LAI",3.53820251896551,0,4.68851564070693,0.754653026694825
"572","rcp45","EC-EARTH_RACMO22E-r1","CONSERVATION","w8","annual.increment",12.1727331765099,0,14.5910502388423,0.834260247018087
"573","rcp45","EC-EARTH_RACMO22E-r1","CONSERVATION","w9","nat.mortality.volperha",3.34712088870848,0,5.61844159386771,0.595738307996602
"574","rcp45","EC-EARTH_RACMO22E-r1","CONSERVATION","w9","impact",3.47234185431644,0,4.92439027259723,0.705131328367491
"575","rcp45","EC-EARTH_RACMO22E-r1","CONSERVATION","w9","NEP",-84.0037306055704,-388.953367502547,1217.44739498192,0.189834096209803
"576","rcp45","EC-EARTH_RACMO22E-r1","CONSERVATION","w9","standing.volume.decidious",97.218863065133,0,128.822861263404,0.754670887695544
"577","rcp45","EC-EARTH_RACMO22E-r1","CONSERVATION","w9","BA.decidious",9.94566273579275,0,12.4483497074567,0.798954316798732
"578","rcp45","EC-EARTH_RACMO22E-r1","CONSERVATION","w9","deadwood.c.ag",20885.7995689102,0,37854.244296677,0.551742610556978
"579","rcp45","EC-EARTH_RACMO22E-r1","CONSERVATION","w9","carbonstock",309187.199808934,0,387627.943172939,0.79763908989139
"580","rcp45","EC-EARTH_RACMO22E-r1","CONSERVATION","w9","shannon_BA_landscape",1.99325794162071,0,2.12717269598936,0.937045659423356
"581","rcp45","EC-EARTH_RACMO22E-r1","CONSERVATION","w9","shannon_VOL_landscape",1.88157185369342,0,2.0661929449391,0.910646732340322
"582","rcp45","EC-EARTH_RACMO22E-r1","CONSERVATION","w9","annual.harvest",5.4830817648296,0,9.16575488718929,0.598213876796241
"583","rcp45","EC-EARTH_RACMO22E-r1","CONSERVATION","w9","standing.volume",312.125619428251,0,483.94324804852,0.644963269323178
"584","rcp45","EC-EARTH_RACMO22E-r1","CONSERVATION","w9","LAI",3.38681730256101,0,4.68851564070693,0.722364509815382
